Index,J2000_NAME,OCARS_NAME,DEC,RA,DEC_deg,RA_deg,INDEX_NEW_TABLE,RA_ERR_sec,DEC_ERR_arcsec,RA_ERR_deg,DEC_ERR_deg,SKY_PA_ERR_deg,RA_DEC_CORRELATION,SEMIMAJOR_AXIS_OF_ERROR_ELLIPSE_mas,CATALOG_CODE,EPOCH_YEAR,GAL_LON_deg,GAL_LAT_deg,Z_FROM_NED_OR_LITERATURE,Z,Z_FLAG,Z_SIMBAD,Z_SIMBAD_FLAG,Z_SDSS,OPTICAL_OR_NIR_MAGNITUDE,BAND,OBJECT_PRIMARY_TYPE,OTHER_ID_AND_NOTES,J2000,frequencies,pa,pa_err,flag180,separation,sys_err,tot_err
0,J0000+0248,2357+025,+02:48:14.6906085,00:00:19.28244683,2.804080724583333,0.0803435284583333,2.0,1.42e-05,0.0004616,5.9166666666666654e-08,1.2822222222222222e-07,1.4118517861718297e-07,-0.2387,0.4651,3.0,2015.0,98.561,-57.629,,,a,,,,20.8,R,V ,"PMN J0000+0248
",J0000+0248,8,-105,5,,1.8,4.014084507042253,6.411932191600021
1,J0000+0307,2357+028,+03:07:15.6463606,00:00:27.02251377,3.1210128779444446,0.1125938073749999,5.0,5.931e-05,0.0003421,2.47125e-07,9.50277777777778e-08,2.644239296225715e-07,-0.0119,0.8883,1.0,2015.0,98.833,-57.346,NED (fiducial),2.3531,,2.3533,,2.3519,19.3,R,AQ,"ICRF J000027.0+030715 S/X; NVSS J000027+030716; GALEXASC J000026.97+030716.3
",J0000+0307,"5,8",92,4,,2.1,0.0,4.0
13,J0001-0020,2358-006,-00:20:11.5664500,00:01:11.19621500,-0.3365462361111111,0.2966508958333332,14.0,4.667e-05,0.00171,1.944583333333333e-07,4.75e-07,5.13261861779966e-07,-0.276,1.7228,39.0,2015.0,96.619,-60.615,NED (fiducial),0.5174,,0.5173,,0.5178,17.9,R,AQ,"FIRST J000111.1-002011
",J0001-0020,5,-180,5,,3.4,0.0,5.0
22,J0002-0024,0000-006,-00:24:47.2754723,00:02:57.17531916,-0.4131320756388889,0.7382304964999999,37.0,1.58e-05,0.000575,6.583333333333333e-08,1.597222222222222e-07,1.727570279918291e-07,-0.4352,0.5856,3.0,2015.0,97.39,-60.858,NED (fiducial),0.5221,,0.5223,,0.522,19.7,R,AL,"PKS 0000-006; 2MASS J00025710-0024467; SDSS J000257.17-002447.2
",J0002-0024,5,101,5,,3.4,0.0,5.0
25,J0003+0214,0000+019,+02:14:57.4835714,00:03:14.96285112,2.249300992055556,0.812345213,42.0,1.47e-05,0.0005531,6.125e-08,1.536388888888889e-07,1.6538044582679245e-07,-0.608,0.5707,3.0,2015.0,99.47,-58.41,LITERATURE,,a,,,,19.3,R,V ,"NVSS J000315+021457; 2XMM J000314.9+021458;; z from milliquas (http://quasars.org/milliquas.htm)
",J0003+0214,"5,8",-20,4,,3.0,21.285211267605632,21.65779810383793
35,J0003-0626,0000-067,-06:26:59.5883000,00:03:01.83168800,-6.449885638888889,0.7576320333333333,39.0,3.733e-05,0.00115,1.5554166666666666e-07,3.194444444444444e-07,3.54869934019358e-07,-0.523,1.1929,39.0,2015.0,91.663,-66.337,LITERATURE,,a,,,,18.2,R,V ,"PMN J0003-0626; GALEXASC J000301.84-062659.4;; z from milliquas (http://quasars.org/milliquas.htm)
",J0003-0626,"5,8",84,4,,3.8,0.0,4.0
51,J0005-0530,0003-057,-05:30:09.2942400,00:05:42.07111800,-5.502581733333333,1.4252963249999997,78.0,4.267e-05,0.00167,1.777916666666667e-07,4.638888888888889e-07,4.964998740169656e-07,-0.568,1.7127,39.0,2015.0,94.172,-65.787,LITERATURE,,a,,,,19.2,R,V ,"PMN J0005-0530; WISEA J000542.06-053009.3;; z from milliquas (http://quasars.org/milliquas.htm)
",J0005-0530,5,-27,5,,6.3,21.285211267605632,21.86458823546892
53,J0005-3445,0002-350,-34:45:49.6561390,00:05:05.92509852,-34.763793371944445,1.2746879104999995,70.0,1.603e-05,0.0005179,6.679166666666665e-08,1.438611111111111e-07,1.5396992032594497e-07,0.1211,0.5185,1.0,2015.0,352.512,-77.485,,,,,,,21.9,g,V ,"ICRF J000505.9-344549 S/X; PMN J0005-3446; 2XMM J000506.0-344548
",J0005-3445,"2,8",36,3,,3.1,0.0,3.0
61,J0006-0623,0003-066,-06:23:35.3353584,00:06:13.89288482,-6.393148710666667,1.5578870200833332,87.0,2.05e-06,3.14e-05,8.541666666666665e-09,8.722222222222222e-09,1.2170974052142862e-08,-0.0235,0.0315,1.0,2015.0,93.505,-66.647,NED (fiducial),0.3467,,0.3467,,,17.1,R,AL,"ICRF J000613.8-062335 S/X; PKS 0003-066
",J0006-0623,"8,15,86",-3,3,,0.9,21.285211267605632,21.495586028452585
63,J0007+0226,0005+021,+02:26:32.2493306,00:07:43.84023055,2.4422914807222225,1.9326676272916663,97.0,3.808e-05,0.0015072,1.5866666666666668e-07,4.1866666666666666e-07,4.4767306592843227e-07,0.2436,1.5146,3.0,2015.0,101.612,-58.608,,,,,,,19.5, ,G ,"PKS 0005+021
",J0007+0226,5,9,5,,10.4,21.285211267605632,21.86458823546892
76,J0008-3601,0006-363,-36:01:25.0334239,00:08:33.66116426,-36.02362039552778,2.140254851083333,108.0,4.035e-05,0.0017253,1.68125e-07,4.7925e-07,4.98166464129525e-07,0.6183,1.753,1.0,2015.0,345.976,-77.268,,,,,,,    , ,I ,"ICRF J000833.6-360125 S/X; PKS 0006-362
",J0008-3601,"2,8",-178,3,,6.7,7.447183098591549,8.028731911326197
77,J0009+0157,0007+016,+01:57:55.1493283,00:09:58.65762794,1.9653192578611112,2.494406783083333,124.0,9.413e-05,0.0017967,3.922083333333333e-07,4.990833333333333e-07,6.346106139322664e-07,-0.0081,1.7968,1.0,2015.0,102.348,-59.239,NED (fiducial),2.9753,,2.9755,,2.9751,18.9,R,AQ,"ICRF J000958.6+015755 S/X; PKS 0007+016
",J0009+0157,"2,8",78,3,,5.1,0.0,3.0
78,J0009+0507,,+05:07:25.018,00:09:24.1697,5.123616111111111,2.350707083333333,,,,,,,,,,,,,,,,,,,,,,,J0009+0507,8,162,5,,1.4,4.225352112676056,6.546266147667387
88,J0009-3216,0007-325,-32:16:36.9293933,00:09:35.55775453,-32.27692483147222,2.3981573105416665,118.0,1.535e-05,0.0004072,6.395833333333335e-08,1.131111111111111e-07,1.253724901497598e-07,-0.5863,0.4253,1.0,2015.0,0.872,-79.564,NED (fiducial),0.0256,,0.0256,,,12.0,R,G ,"ICRF J000935.5-321636 S/X; AT20G J000935-321637
",J0009-3216,"2,8",142,4,,3.6,4.225352112676056,5.818384696468256
95,J0010-0020,0008-006,-00:20:06.6203700,00:10:52.50029800,-0.335172325,2.7187512416666664,139.0,9.333e-05,0.00342,3.88875e-07,9.5e-07,1.026507959382339e-06,-0.227,3.4375,39.0,2015.0,101.286,-61.49,,,,,,,24.0, ,V ,"NVSS J001052-002007
",J0010-0020,5,2,5,,6.5,21.285211267605632,21.86458823546892
96,J0010-0433,0007-048,-04:33:48.5065726,00:10:00.38867575,-4.563474047944444,2.5016194822916664,126.0,1.02e-05,0.0002788,4.25e-08,7.744444444444447e-08,8.827489898140366e-08,0.1965,0.281,1.0,2015.0,97.465,-65.366,LITERATURE,,a,,,,19.4,R,AQ,"ICRF J001000.3-043348 S/X; AT20G J001000-043348; GALEXASC J001000.38-043347.9;; z from milliquas (http://quasars.org/milliquas.htm)
",J0010-0433,8,-26,16,,2.4,21.285211267605632,26.628184667877864
99,J0010-2945,0008-300,-29:45:13.1779128,00:10:45.17736344,-29.75366053133333,2.688239014333333,136.0,1.361e-05,0.0006079,5.6708333333333337e-08,1.688611111111111e-07,1.7589171436330068e-07,-0.0561,0.608,1.0,2015.0,14.187,-80.683,NED (fiducial),2.3439,,2.3439,,,18.5,R,AQ,"ICRF J001045.1-294513 S/X; NVSS J001045-294512
",J0010-2945,8,176,5,,1.8,4.225352112676056,6.546266147667387
