Index,J2000_NAME,OCARS_NAME,DEC,RA,DEC_deg,RA_deg,INDEX_NEW_TABLE,RA_ERR_sec,DEC_ERR_arcsec,RA_ERR_deg,DEC_ERR_deg,SKY_PA_ERR_deg,RA_DEC_CORRELATION,SEMIMAJOR_AXIS_OF_ERROR_ELLIPSE_mas,CATALOG_CODE,EPOCH_YEAR,GAL_LON_deg,GAL_LAT_deg,Z_FROM_NED_OR_LITERATURE,Z,Z_FLAG,Z_SIMBAD,Z_SIMBAD_FLAG,Z_SDSS,OPTICAL_OR_NIR_MAGNITUDE,BAND,OBJECT_PRIMARY_TYPE,OTHER_ID_AND_NOTES,J2000,frequencies,pa,pa_err,flag180,separation,sys_err,tot_err
0,J0000+0248,2357+025,+02:48:14.6906085,00:00:19.28244683,2.804080724583333,0.0803435284583333,2.0,1.42e-05,0.0004616,5.9166666666666654e-08,1.2822222222222222e-07,1.4118517861718297e-07,-0.2387,0.4651,3.0,2015.0,98.561,-57.629,,,a,,,,20.8,R,V ,"PMN J0000+0248
",J0000+0248,8,-105,5,,1.8,4.014084507042253,6.411932191600021
1,J0000+0307,2357+028,+03:07:15.6463606,00:00:27.02251377,3.1210128779444446,0.1125938073749999,5.0,5.931e-05,0.0003421,2.47125e-07,9.50277777777778e-08,2.644239296225715e-07,-0.0119,0.8883,1.0,2015.0,98.833,-57.346,NED (fiducial),2.3531,,2.3533,,2.3519,19.3,R,AQ,"ICRF J000027.0+030715 S/X; NVSS J000027+030716; GALEXASC J000026.97+030716.3
",J0000+0307,"5,8",92,4,,2.1,0.0,4.0
4,J0000-3221,2357-326,-32:21:01.2337415,00:00:20.39997606,-32.350342705972224,0.08499990025,4.0,8.04e-06,0.0002624,3.35e-08,7.288888888888888e-08,7.819021828731385e-08,-0.0602,0.2625,1.0,2015.0,4.638,-77.752,NED (fiducial),1.275,,1.275,,,18.2,R,AQ,"ICRF J000020.3-322101 S/X; PMN J0000-3221
",J0000-3221,"2,8",-85,3,,4.3,4.014084507042253,5.011274731011726
5,J0001+0701,,+07:01:23.553,00:01:43.4676,7.023209166666667,0.4311149999999999,,,,,,,,,,,,,,,,,,,,,,,J0001+0701,5,-147,5,,4.4,7.447183098591549,8.969979715916175
6,J0001+1456,2358+146,+14:56:08.0804900,00:01:32.83084500,14.935577913888888,0.3867951874999999,25.0,3.933e-05,0.00125,1.63875e-07,3.472222222222223e-07,3.816207678644846e-07,0.016,1.25,39.0,2015.0,105.375,-46.228,NED (fiducial),0.3988,,0.3988,,0.3988,18.5,R,AQ,"87GB 235900.4+143923
",J0001+1456,5,-74,5,,1.4,4.014084507042253,6.411932191600021
7,J0001+1914,2358+189,+19:14:33.8017136,00:01:08.62156616,19.242722698222224,0.2859231923333333,12.0,2.6e-06,4.72e-05,1.0833333333333333e-08,1.3111111111111112e-08,1.6628738662418433e-08,-0.0314,0.0472,1.0,2015.0,106.862,-42.054,NED (fiducial),3.1,,3.1,,,20.5,R,AQ,"ICRF J000108.6+191433 S/X; CGRaBS J0001+1914
",J0001+1914,"2,5,8",44,4,,1.6,0.0,4.0
8,J0001+2113,2358+209,+21:13:36.2750500,00:01:32.37050700,21.22674306944444,0.3848771124999999,23.0,2.8e-05,0.0006,1.1666666666666665e-07,1.6666666666666665e-07,1.990091608797943e-07,-0.425,0.6327,39.0,2015.0,107.656,-40.16,NED (fiducial),1.106,,0.439,,0.439,18.6,R,AQ,"NVSS J000132+211336
",J0001+2113,"5,8",-43,4,,2.8,4.014084507042253,5.666822251463041
9,J0001+2358,2358+236,+23:58:10.7102900,00:01:14.86452500,23.96964174722222,0.3119355208333333,15.0,5.267e-05,0.00125,2.194583333333333e-07,3.472222222222223e-07,4.009694844248079e-07,0.073,1.2517,39.0,2015.0,108.444,-37.486,NED (fiducial),,a,,,,19.2,G,G ,"87GB 235840.4+234113
",J0001+2358,"5,8",34,4,,2.3,21.285211267605632,21.65779810383793
13,J0001-0020,2358-006,-00:20:11.5664500,00:01:11.19621500,-0.3365462361111111,0.2966508958333332,14.0,4.667e-05,0.00171,1.944583333333333e-07,4.75e-07,5.13261861779966e-07,-0.276,1.7228,39.0,2015.0,96.619,-60.615,NED (fiducial),0.5174,,0.5173,,0.5178,17.9,R,AQ,"FIRST J000111.1-002011
",J0001-0020,5,-180,5,,3.4,0.0,5.0
14,J0001-0656,2358-072,-06:56:24.9302200,00:01:25.58704600,-6.940258394444444,0.3566126916666666,21.0,2.933e-05,0.00099,1.2220833333333332e-07,2.75e-07,3.005691492032963e-07,-0.543,1.0221,39.0,2015.0,90.203,-66.58,LITERATURE,,a,,,,18.7,R,V ,"AT20G J000125-065624; GALEXASC J000125.57-065625.5;; z from milliquas (http://quasars.org/milliquas.htm)
",J0001-0656,8,-36,5,,1.4,0.0,5.0
15,J0001-0746,2358-080,-07:46:26.9219154,00:01:18.02492109,-7.7741449765,0.3251038378749999,16.0,8.92e-06,0.0002011,3.716666666666666e-08,5.5861111111111134e-08,6.690701985689583e-08,-0.0735,0.2015,3.0,2015.0,89.085,-67.29,,,,,,,16.3,R,AL,"AT20G J000118-074626
",J0001-0746,"2,8",-99,3,,3.2,4.014084507042253,5.011274731011726
16,J0001-1326,2358-137,-13:26:33.1436800,00:01:26.05027200,-13.442539911111112,0.3585428,22.0,0.000256,0.00817,1.0666666666666665e-06,2.2694444444444446e-06,2.495329174380552e-06,-0.634,8.5486,39.0,2015.0,79.972,-72.006,,,,,,,    , ,I ,"PKS 2358-13
",J0001-1326,5,-7,5,,18.1,21.285211267605632,21.86458823546892
18,J0002+1605,,+16:05:44.614,00:02:40.1939,16.09572611111111,0.6674745833333332,,,,,,,,,,,,,,,,,,,,,,,J0002+1605,8,169,5,,2.2,4.225352112676056,6.546266147667387
19,J0002+3032,0000+302,+30:32:41.5973700,00:02:49.25087200,30.544888158333336,0.7052119666666665,34.0,4e-05,0.00108,1.6666666666666665e-07,3e-07,3.325707650420689e-07,-0.0,1.08,39.0,2015.0,110.697,-31.169,NED (fiducial),2.3924,,2.392,,2.3926,18.4,R,AQ,"NVSS J000249+303241
",J0002+3032,8,-56,5,,34.0,4.014084507042253,6.411932191600021
22,J0002-0024,0000-006,-00:24:47.2754723,00:02:57.17531916,-0.4131320756388889,0.7382304964999999,37.0,1.58e-05,0.000575,6.583333333333333e-08,1.597222222222222e-07,1.727570279918291e-07,-0.4352,0.5856,3.0,2015.0,97.39,-60.858,NED (fiducial),0.5221,,0.5223,,0.522,19.7,R,AL,"PKS 0000-006; 2MASS J00025710-0024467; SDSS J000257.17-002447.2
",J0002-0024,5,101,5,,3.4,0.0,5.0
25,J0003+0214,0000+019,+02:14:57.4835714,00:03:14.96285112,2.249300992055556,0.812345213,42.0,1.47e-05,0.0005531,6.125e-08,1.536388888888889e-07,1.6538044582679245e-07,-0.608,0.5707,3.0,2015.0,99.47,-58.41,LITERATURE,,a,,,,19.3,R,V ,"NVSS J000315+021457; 2XMM J000314.9+021458;; z from milliquas (http://quasars.org/milliquas.htm)
",J0003+0214,"5,8",-20,4,,3.0,21.285211267605632,21.65779810383793
26,J0003+0717,,+07:17:13.863,00:03:23.2414,7.287184166666666,0.8468391666666666,,,,,,,,,,,,,,,,,,,,,,,J0003+0717,8,-78,5,,3.2,4.014084507042253,6.411932191600021
27,J0003+0841,,+08:41:38.186,00:03:59.2301,8.693940555555557,0.9967920833333334,,,,,,,,,,,,,,,,,,,,,,,J0003+0841,8,1,5,,1.6,21.285211267605632,21.86458823546892
28,J0003+1605,,+16:05:47.961,00:03:46.0957,16.096655833333333,0.9420654166666664,,,,,,,,,,,,,,,,,,,,,,,J0003+1605,5,160,5,,3.4,4.225352112676056,6.546266147667387
29,J0003+1837,0000+183,+18:37:59.0094600,00:03:01.16033100,18.633058183333333,0.7548347124999999,38.0,3.067e-05,0.00121,1.277916666666667e-07,3.361111111111111e-07,3.572594050844492e-07,-0.138,1.2117,39.0,2015.0,107.23,-42.758,LITERATURE,,a,,,,18.3,R,V ,"NVSS J000301+183759; GALEXASC J000301.12+183759.8;; z from milliquas (http://quasars.org/milliquas.htm)
",J0003+1837,"5,8",1,4,,3.4,21.285211267605632,21.65779810383793
