Index,J2000_NAME,OCARS_NAME,DEC,RA,DEC_deg,RA_deg,INDEX_NEW_TABLE,RA_ERR_sec,DEC_ERR_arcsec,RA_ERR_deg,DEC_ERR_deg,SKY_PA_ERR_deg,RA_DEC_CORRELATION,SEMIMAJOR_AXIS_OF_ERROR_ELLIPSE_mas,CATALOG_CODE,EPOCH_YEAR,GAL_LON_deg,GAL_LAT_deg,Z_FROM_NED_OR_LITERATURE,Z,Z_FLAG,Z_SIMBAD,Z_SIMBAD_FLAG,Z_SDSS,OPTICAL_OR_NIR_MAGNITUDE,BAND,OBJECT_PRIMARY_TYPE,OTHER_ID_AND_NOTES,J2000,frequencies,pa,pa_err,flag180,separation,sys_err,tot_err
309,J0040-3225,0038-326,-32:25:20.3298466,00:40:30.65485223,-32.422313846277774,10.12772855095833,462.0,1.853e-05,0.0006291,7.720833333333334e-08,1.7474999999999997e-07,1.86507605826504e-07,0.0465,0.6292,1.0,2015.0,326.391,-84.2,NED (fiducial),0.524,,0.524,,,20.0,R,AL,"ICRF J004030.6-322520 S/X DEF; PKS 0038-326
",J0040-3225,"2,8",98,3,,3.7,0.0,3.0
1417,J0327-2846,0325-289,-28:46:21.3223600,03:27:34.01146000,-28.772589544444443,51.891714416666666,2295.0,0.00013933,0.00454,5.805416666666666e-07,1.261111111111111e-06,1.3599066609803618e-06,-0.717,4.7404,39.0,2015.0,224.989,-55.635,,,,,,,    , ,G ,"SWIRE J032733.99-284621.2
",J0327-2846,8,-22,5,,11.5,21.285211267605632,21.86458823546892
4222,J1028+0255,1025+031,+02:55:22.4719033,10:28:20.40128976,2.9229088620277777,157.08500537399996,6799.0,6.71e-06,0.000213,2.7958333333333334e-08,5.9166666666666674e-08,6.542423362063453e-08,-0.2143,0.2144,1.0,2015.0,241.967,48.106,NED (fiducial),0.715,,0.715,,,20.4,R,AQ,"ICRF J102820.4+025522 S/X; NVSS J102820+025523
",J1028+0255,"2,8",-1,2,,5.6,21.285211267605632,21.378966736178008
4237,J1029-0143,,-01:43:19.018,10:29:53.0859,-1.7219494444444443,157.47119124999998,,,,,,,,,,,,,,,,,,,,,,,J1029-0143,5,-138,5,,5.2,7.447183098591549,8.969979715916175
4982,J1208+0054,1205+011,+00:54:21.9235871,12:08:33.65435756,0.9060898853055556,182.1402264898333,7918.0,1.059e-05,0.000327,4.412499999999999e-08,9.083333333333333e-08,1.0098130113940033e-07,-0.5188,0.3391,1.0,2015.0,279.731,61.831,,,,,,,21.7,r,V ,"ICRF J120833.6+005421 S/X; PKS 1205+011
",J1208+0054,2,-50,4,,8.2,4.014084507042253,5.666822251463041
5772,J1355+0040,,+00:40:43.270,13:55:07.5772,0.6786861111111111,208.78157166666665,,,,,,,,,,,,,,,,,,,,,,,J1355+0040,8,169,5,,73.3,4.225352112676056,6.546266147667387
5889,J1413+0111,,+01:11:26.120,14:13:41.9447,1.190588888888889,213.4247695833333,,,,,,,,,,,,,,,,,,,,,,,J1413+0111,5,16,5,,5.5,21.285211267605632,21.86458823546892
6312,J1517+0105,1515+012,+01:05:21.6084400,15:17:37.41010600,1.0893356777777776,229.40587544166664,9770.0,2.467e-05,0.00088,1.0279166666666668e-07,2.4444444444444445e-07,2.651705002937719e-07,-0.146,0.882,39.0,2015.0,2.529,46.347,LITERATURE,,a,,,,21.8,R,G ,"87GB 151504.8+011544;; z from milliquas (http://quasars.org/milliquas.htm)
",J1517+0105,"5,8",136,4,,1.9,4.225352112676056,5.818384696468256
6417,J1538+0019,1535+004,+00:19:05.3239262,15:38:15.95309209,0.3181455350555555,234.5664712170416,9921.0,6.72e-06,0.0001437,2.8e-08,3.9916666666666663e-08,4.8757728674297775e-08,-0.0171,0.1437,1.0,2015.0,6.173,41.832,NED (fiducial),3.497,,3.497,,,18.8,R,AQ,"ICRF J153815.9+001905 S/X; PKS 1535+004
",J1538+0019,"2,8",-85,3,,1.6,4.014084507042253,5.011274731011726
9077,J2335-3116,2332-315,-31:16:06.0548800,23:35:05.85299600,-31.26834857777777,353.77438748333327,13401.0,0.00020067,0.00777,8.361249999999999e-07,2.158333333333333e-06,2.2735791279599567e-06,0.009,7.77,39.0,2015.0,14.412,-72.858,,,,,,,    , ,I ,"PKS 2332-315
",J2335-3116,5,41,5,,236.5,0.0,5.0
