Index,J2000_NAME,OCARS_NAME,DEC,RA,DEC_deg,RA_deg,INDEX_NEW_TABLE,RA_ERR_sec,DEC_ERR_arcsec,RA_ERR_deg,DEC_ERR_deg,SKY_PA_ERR_deg,RA_DEC_CORRELATION,SEMIMAJOR_AXIS_OF_ERROR_ELLIPSE_mas,CATALOG_CODE,EPOCH_YEAR,GAL_LON_deg,GAL_LAT_deg,Z_FROM_NED_OR_LITERATURE,Z,Z_FLAG,Z_SIMBAD,Z_SIMBAD_FLAG,Z_SDSS,OPTICAL_OR_NIR_MAGNITUDE,BAND,OBJECT_PRIMARY_TYPE,OTHER_ID_AND_NOTES,J2000,frequencies,pa,pa_err,flag180,separation,sys_err,tot_err
1,J0000+0307,2357+028,+03:07:15.6463606,00:00:27.02251377,3.1210128779444446,0.1125938073749999,5.0,5.931e-05,0.0003421,2.47125e-07,9.50277777777778e-08,2.644239296225715e-07,-0.0119,0.8883,1.0,2015.0,98.833,-57.346,NED (fiducial),2.3531,,2.3533,,2.3519,19.3,R,AQ,"ICRF J000027.0+030715 S/X; NVSS J000027+030716; GALEXASC J000026.97+030716.3
",J0000+0307,"5,8",92,4,,2.1,0.0,4.0
6,J0001+1456,2358+146,+14:56:08.0804900,00:01:32.83084500,14.935577913888888,0.3867951874999999,25.0,3.933e-05,0.00125,1.63875e-07,3.472222222222223e-07,3.816207678644846e-07,0.016,1.25,39.0,2015.0,105.375,-46.228,NED (fiducial),0.3988,,0.3988,,0.3988,18.5,R,AQ,"87GB 235900.4+143923
",J0001+1456,5,-74,5,,1.4,4.014084507042253,6.411932191600021
8,J0001+2113,2358+209,+21:13:36.2750500,00:01:32.37050700,21.22674306944444,0.3848771124999999,23.0,2.8e-05,0.0006,1.1666666666666665e-07,1.6666666666666665e-07,1.990091608797943e-07,-0.425,0.6327,39.0,2015.0,107.656,-40.16,NED (fiducial),1.106,,0.439,,0.439,18.6,R,AQ,"NVSS J000132+211336
",J0001+2113,"5,8",-43,4,,2.8,4.014084507042253,5.666822251463041
13,J0001-0020,2358-006,-00:20:11.5664500,00:01:11.19621500,-0.3365462361111111,0.2966508958333332,14.0,4.667e-05,0.00171,1.944583333333333e-07,4.75e-07,5.13261861779966e-07,-0.276,1.7228,39.0,2015.0,96.619,-60.615,NED (fiducial),0.5174,,0.5173,,0.5178,17.9,R,AQ,"FIRST J000111.1-002011
",J0001-0020,5,-180,5,,3.4,0.0,5.0
19,J0002+3032,0000+302,+30:32:41.5973700,00:02:49.25087200,30.544888158333336,0.7052119666666665,34.0,4e-05,0.00108,1.6666666666666665e-07,3e-07,3.325707650420689e-07,-0.0,1.08,39.0,2015.0,110.697,-31.169,NED (fiducial),2.3924,,2.392,,2.3926,18.4,R,AQ,"NVSS J000249+303241
",J0002+3032,8,-56,5,,34.0,4.014084507042253,6.411932191600021
22,J0002-0024,0000-006,-00:24:47.2754723,00:02:57.17531916,-0.4131320756388889,0.7382304964999999,37.0,1.58e-05,0.000575,6.583333333333333e-08,1.597222222222222e-07,1.727570279918291e-07,-0.4352,0.5856,3.0,2015.0,97.39,-60.858,NED (fiducial),0.5221,,0.5223,,0.522,19.7,R,AL,"PKS 0000-006; 2MASS J00025710-0024467; SDSS J000257.17-002447.2
",J0002-0024,5,101,5,,3.4,0.0,5.0
27,J0003+0841,,+08:41:38.186,00:03:59.2301,8.693940555555557,0.9967920833333334,,,,,,,,,,,,,,,,,,,,,,,J0003+0841,8,1,5,,1.6,21.285211267605632,21.86458823546892
28,J0003+1605,,+16:05:47.961,00:03:46.0957,16.096655833333333,0.9420654166666664,,,,,,,,,,,,,,,,,,,,,,,J0003+1605,5,160,5,,3.4,4.225352112676056,6.546266147667387
31,J0003+2459,,+24:59:38.378,00:03:16.3122,24.99399388888889,0.8179675,,,,,,,,,,,,,,,,,,,,,,,J0003+2459,"5,8",57,4,,1.6,0.0,4.0
32,J0003+3241,0001+324,+32:41:57.5968300,00:03:56.33863200,32.699332452777774,0.9847443,54.0,4.133e-05,0.0011,1.7220833333333337e-07,3.055555555555556e-07,3.381788254172143e-07,-0.012,1.1,39.0,2015.0,111.5,-29.116,NED (fiducial),0.5333,,,,0.5333,20.6,r,V ,"NVSS J000356+324157
",J0003+3241,"5,8",-5,4,,6.8,21.285211267605632,21.65779810383793
