Index,J2000_NAME,OCARS_NAME,DEC,RA,DEC_deg,RA_deg,INDEX_NEW_TABLE,RA_ERR_sec,DEC_ERR_arcsec,RA_ERR_deg,DEC_ERR_deg,SKY_PA_ERR_deg,RA_DEC_CORRELATION,SEMIMAJOR_AXIS_OF_ERROR_ELLIPSE_mas,CATALOG_CODE,EPOCH_YEAR,GAL_LON_deg,GAL_LAT_deg,Z_FROM_NED_OR_LITERATURE,Z,Z_FLAG,Z_SIMBAD,Z_SIMBAD_FLAG,Z_SDSS,OPTICAL_OR_NIR_MAGNITUDE,BAND,OBJECT_PRIMARY_TYPE,OTHER_ID_AND_NOTES,J2000,frequencies,pa,pa_err,flag180,separation,sys_err,tot_err
4,J0000-3221,2357-326,-32:21:01.2337415,00:00:20.39997606,-32.350342705972224,0.08499990025,4.0,8.04e-06,0.0002624,3.35e-08,7.288888888888888e-08,7.819021828731385e-08,-0.0602,0.2625,1.0,2015.0,4.638,-77.752,NED (fiducial),1.275,,1.275,,,18.2,R,AQ,"ICRF J000020.3-322101 S/X; PMN J0000-3221
",J0000-3221,"2,8",-85,3,,4.3,4.014084507042253,5.011274731011726
13,J0001-0020,2358-006,-00:20:11.5664500,00:01:11.19621500,-0.3365462361111111,0.2966508958333332,14.0,4.667e-05,0.00171,1.944583333333333e-07,4.75e-07,5.13261861779966e-07,-0.276,1.7228,39.0,2015.0,96.619,-60.615,NED (fiducial),0.5174,,0.5173,,0.5178,17.9,R,AQ,"FIRST J000111.1-002011
",J0001-0020,5,-180,5,,3.4,0.0,5.0
15,J0001-0746,2358-080,-07:46:26.9219154,00:01:18.02492109,-7.7741449765,0.3251038378749999,16.0,8.92e-06,0.0002011,3.716666666666666e-08,5.5861111111111134e-08,6.690701985689583e-08,-0.0735,0.2015,3.0,2015.0,89.085,-67.29,,,,,,,16.3,R,AL,"AT20G J000118-074626
",J0001-0746,"2,8",-99,3,,3.2,4.014084507042253,5.011274731011726
17,J0001-1551,2358-161,-15:51:07.0752302,00:01:05.32873479,-15.851965341722222,0.2722030616249999,9.0,7.02e-06,0.0002261,2.925e-08,6.280555555555557e-08,6.882052511096566e-08,-0.2106,0.2273,1.0,2015.0,74.359,-73.764,NED (fiducial),2.044,,2.044,,,18.1,R,AQ,"ICRF J000105.3-155107 S/X; PMN J0001-1551
",J0001-1551,"2,8",-47,3,,3.6,4.014084507042253,5.011274731011726
22,J0002-0024,0000-006,-00:24:47.2754723,00:02:57.17531916,-0.4131320756388889,0.7382304964999999,37.0,1.58e-05,0.000575,6.583333333333333e-08,1.597222222222222e-07,1.727570279918291e-07,-0.4352,0.5856,3.0,2015.0,97.39,-60.858,NED (fiducial),0.5221,,0.5223,,0.522,19.7,R,AL,"PKS 0000-006; 2MASS J00025710-0024467; SDSS J000257.17-002447.2
",J0002-0024,5,101,5,,3.4,0.0,5.0
24,J0002-2153,2359-221,-21:53:09.8655460,00:02:11.98142614,-21.886073762777777,0.5499226089166666,30.0,1.333e-05,0.0004673,5.5541666666666666e-08,1.2980555555555556e-07,1.3966284449027677e-07,-0.3427,0.4723,1.0,2015.0,55.357,-77.642,,,a,,,,18.2,R,AL,"ICRF J000211.9-215309 S/X; PKS 2359-221
",J0002-2153,"2,8",10,3,,24.2,21.285211267605632,21.495586028452585
35,J0003-0626,0000-067,-06:26:59.5883000,00:03:01.83168800,-6.449885638888889,0.7576320333333333,39.0,3.733e-05,0.00115,1.5554166666666666e-07,3.194444444444444e-07,3.54869934019358e-07,-0.523,1.1929,39.0,2015.0,91.663,-66.337,LITERATURE,,a,,,,18.2,R,V ,"PMN J0003-0626; GALEXASC J000301.84-062659.4;; z from milliquas (http://quasars.org/milliquas.htm)
",J0003-0626,"5,8",84,4,,3.8,0.0,4.0
37,J0003-1727,0000-177,-17:27:11.8719700,00:03:21.95490300,-17.453297769444443,0.8414787625,47.0,3e-05,0.00094,1.25e-07,2.611111111111112e-07,2.8705127466569175e-07,0.001,0.94,39.0,2015.0,71.524,-75.278,NED (fiducial),1.465,,1.465,,,18.6,R,AQ,"AT20G J000322-172711
",J0003-1727,8,73,5,,42.9,0.0,5.0
38,J0003-1927,0000-197,-19:27:22.3557316,00:03:18.67502835,-19.456209925444444,0.8278126181249998,44.0,1.445e-05,0.0004265,6.020833333333332e-08,1.1847222222222225e-07,1.3137170539493854e-07,-0.043,0.4266,1.0,2015.0,65.191,-76.56,NED (fiducial),2.0,,,,,20.7,R,G ,"ICRF J000318.6-192722 S/X; PKS 0000-197; GALEXASC J000318.73-192724.2
",J0003-1927,"2,8",-100,4,,2.6,4.014084507042253,5.666822251463041
39,J0003-1941,0000-199,-19:41:50.4018049,00:03:15.94940393,-19.697333834694444,0.8164558497083333,43.0,9.36e-06,0.0002972,3.9e-08,8.255555555555557e-08,9.035280049706925e-08,-0.1961,0.2986,1.0,2015.0,64.327,-76.695,LITERATURE,,a,,,,18.7,R,AQ,"ICRF J000315.9-194150 S/X; PMN J0003-1941; MRSS 538-058903;; z from milliquas (http://quasars.org/milliquas.htm)
",J0003-1941,2,148,4,,4.3,4.225352112676056,5.818384696468256
52,J0005-1648,0002-170,-16:48:04.6785706,00:05:17.93378939,-16.801299602944447,1.324724122458333,72.0,9.02e-06,0.0003081,3.7583333333333336e-08,8.558333333333336e-08,9.283854912858772e-08,-0.2133,0.3096,1.0,2015.0,74.614,-75.149,NED (fiducial),0.7754,,0.7754,,,18.4,R,AQ,"ICRF J000517.9-164804 S/X; PKS 0002-170
",J0005-1648,"2,8",162,3,,6.1,4.225352112676056,5.182045973946585
61,J0006-0623,0003-066,-06:23:35.3353584,00:06:13.89288482,-6.393148710666667,1.5578870200833332,87.0,2.05e-06,3.14e-05,8.541666666666665e-09,8.722222222222222e-09,1.2170974052142862e-08,-0.0235,0.0315,1.0,2015.0,93.505,-66.647,NED (fiducial),0.3467,,0.3467,,,17.1,R,AL,"ICRF J000613.8-062335 S/X; PKS 0003-066
",J0006-0623,"8,15,86",-3,3,,0.9,21.285211267605632,21.495586028452585
73,J0008-2339,,-23:39:18.150,00:08:00.3696,-23.655041666666666,2.00154,,,,,,,,,,,,,,1.412,,1.41,,,,,,,J0008-2339,8,151,2,,3.5,4.225352112676056,4.674783468364712
74,J0008-233A,,-23:39:28.008,00:08:35.3997,-23.65778,2.14749875,,,,,,,,,,,,,,0.147,,0.147,,,,,,,J0008-233A,8,-127,5,,38.7,7.447183098591549,8.969979715916175
88,J0009-3216,0007-325,-32:16:36.9293933,00:09:35.55775453,-32.27692483147222,2.3981573105416665,118.0,1.535e-05,0.0004072,6.395833333333335e-08,1.131111111111111e-07,1.253724901497598e-07,-0.5863,0.4253,1.0,2015.0,0.872,-79.564,NED (fiducial),0.0256,,0.0256,,,12.0,R,G ,"ICRF J000935.5-321636 S/X; AT20G J000935-321637
",J0009-3216,"2,8",142,4,,3.6,4.225352112676056,5.818384696468256
96,J0010-0433,0007-048,-04:33:48.5065726,00:10:00.38867575,-4.563474047944444,2.5016194822916664,126.0,1.02e-05,0.0002788,4.25e-08,7.744444444444447e-08,8.827489898140366e-08,0.1965,0.281,1.0,2015.0,97.465,-65.366,LITERATURE,,a,,,,19.4,R,AQ,"ICRF J001000.3-043348 S/X; AT20G J001000-043348; GALEXASC J001000.38-043347.9;; z from milliquas (http://quasars.org/milliquas.htm)
",J0010-0433,8,-26,16,,2.4,21.285211267605632,26.628184667877864
99,J0010-2945,0008-300,-29:45:13.1779128,00:10:45.17736344,-29.75366053133333,2.688239014333333,136.0,1.361e-05,0.0006079,5.6708333333333337e-08,1.688611111111111e-07,1.7589171436330068e-07,-0.0561,0.608,1.0,2015.0,14.187,-80.683,NED (fiducial),2.3439,,2.3439,,,18.5,R,AQ,"ICRF J001045.1-294513 S/X; NVSS J001045-294512
",J0010-2945,8,176,5,,1.8,4.225352112676056,6.546266147667387
115,J0012-3846,0009-390,-38:46:19.2686600,00:12:15.15063800,-38.77201907222222,3.063127658333333,160.0,4.867e-05,0.00153,2.0279166666666666e-07,4.250000000000001e-07,4.534559296446797e-07,-0.081,1.5308,39.0,2015.0,335.584,-75.767,NED (fiducial),0.0756,,0.05,,,15.0,R,G ,"AT20G J001215-384618
",J0012-3846,5,6,5,,1.5,21.285211267605632,21.86458823546892
132,J0015-0034,0012-008,-00:34:59.3386317,00:15:03.39697238,-0.5831496199166667,3.7641540515833327,184.0,1.813e-05,0.0006856,7.554166666666666e-08,1.904444444444445e-07,2.0487810694736625e-07,0.1295,0.6867,3.0,2015.0,103.22,-62.054,NED (fiducial),0.1727,,0.1727,,0.1727,16.6,r,G ,"PKS 0012-008
",J0015-0034,8,-173,5,,3.4,7.447183098591549,8.969979715916175
138,J0016-1430,0013-147,-14:30:11.1100200,00:16:19.95780500,-14.503086116666667,4.083157520833333,202.0,2.533e-05,0.0009,1.0554166666666665e-07,2.5e-07,2.7007488634796825e-07,-0.159,0.9023,39.0,2015.0,88.241,-74.957,NED (fiducial),0.7683,,0.7683,,,17.3,R,AQ,"PKS 0013-14
",J0016-1430,"5,8",-34,4,,3.5,21.285211267605632,21.65779810383793
139,J0016-2343,0013-240,-23:43:52.1996030,00:16:05.73866094,-23.73116655638889,4.023911087249999,198.0,1.946e-05,0.000609,8.108333333333334e-08,1.6916666666666665e-07,1.847350634621736e-07,-0.4072,0.6204,1.0,2015.0,54.048,-81.331,NED (fiducial),0.064,,0.0679,,,15.1,R,G ,"ICRF J001605.7-234352 S/X; NVSS J001605-234351; GALEXASC J001605.55-234349.0
",J0016-2343,"2,8",152,3,,8.2,4.225352112676056,5.182045973946585
