J2000_NAME,OCARS_NAME,DEC,RA,DEC_deg,RA_deg,INDEX_NEW_TABLE,RA_ERR_sec,DEC_ERR_arcsec,RA_ERR_deg,DEC_ERR_deg,SKY_PA_ERR_deg,RA_DEC_CORRELATION,SEMIMAJOR_AXIS_OF_ERROR_ELLIPSE_mas,CATALOG_CODE,EPOCH_YEAR,GAL_LON_deg,GAL_LAT_deg,Z_FROM_NED_OR_LITERATURE,Z,Z_FLAG,Z_SIMBAD,Z_SIMBAD_FLAG,Z_SDSS,OPTICAL_OR_NIR_MAGNITUDE,BAND,OBJECT_PRIMARY_TYPE,OTHER_ID_AND_NOTES,J2000,frequencies,pa,pa_err,flag180,separation,sys_err,tot_err
J0000+0248,2357+025,+02:48:14.6906085,00:00:19.28244683,2.804080724583333,0.0803435284583333,2.0,1.42e-05,0.0004616,5.9166666666666654e-08,1.2822222222222222e-07,1.4118517861718297e-07,-0.2387,0.4651,3.0,2015.0,98.561,-57.629,,,a,,,,20.8,R,V ,"PMN J0000+0248
",J0000+0248,8,-105,5,,1.8,4.014084507042253,6.411932191600021
J0000+0307,2357+028,+03:07:15.6463606,00:00:27.02251377,3.1210128779444446,0.1125938073749999,5.0,5.931e-05,0.0003421,2.47125e-07,9.50277777777778e-08,2.644239296225715e-07,-0.0119,0.8883,1.0,2015.0,98.833,-57.346,NED (fiducial),2.3531,,2.3533,,2.3519,19.3,R,AQ,"ICRF J000027.0+030715 S/X; NVSS J000027+030716; GALEXASC J000026.97+030716.3
",J0000+0307,"5,8",92,4,,2.1,0.0,4.0
J0000+3918,2358+390,+39:18:04.1482600,00:00:41.52761200,39.30115229444444,0.1730317166666666,6.0,2.867e-05,0.00067,1.1945833333333333e-07,1.861111111111111e-07,2.0780405474131139e-07,-0.142,0.6722,39.0,2015.0,112.33,-22.524,,,,,,,    , ,I ,"NVSS J000041+391804;; CSO?
",J0000+3918,5,-25,5,,3.2,21.285211267605632,21.86458823546892
J0000+4054,2358+406,+40:54:01.8096518,00:00:53.08106320,40.90050268105556,0.2211710966666666,8.0,1.504e-05,0.000267,6.266666666666666e-08,7.416666666666666e-08,8.800156665138445e-08,-0.1654,0.2694,1.0,2015.0,112.731,-20.968,,,,,,,21.4,V,G ,"ICRF J000053.0+405401 S/X; 4C +40.52
",J0000+4054,"2,8",-28,3,,13.2,21.285211267605632,21.495586028452585
J0000-3221,2357-326,-32:21:01.2337415,00:00:20.39997606,-32.350342705972224,0.08499990025,4.0,8.04e-06,0.0002624,3.35e-08,7.288888888888888e-08,7.819021828731385e-08,-0.0602,0.2625,1.0,2015.0,4.638,-77.752,NED (fiducial),1.275,,1.275,,,18.2,R,AQ,"ICRF J000020.3-322101 S/X; PMN J0000-3221
",J0000-3221,"2,8",-85,3,,4.3,4.014084507042253,5.011274731011726
J0001+0701,,+07:01:23.553,00:01:43.4676,7.023209166666667,0.4311149999999999,,,,,,,,,,,,,,,,,,,,,,,J0001+0701,5,-147,5,,4.4,7.447183098591549,8.969979715916175
J0001+1456,2358+146,+14:56:08.0804900,00:01:32.83084500,14.935577913888888,0.3867951874999999,25.0,3.933e-05,0.00125,1.63875e-07,3.472222222222223e-07,3.816207678644846e-07,0.016,1.25,39.0,2015.0,105.375,-46.228,NED (fiducial),0.3988,,0.3988,,0.3988,18.5,R,AQ,"87GB 235900.4+143923
",J0001+1456,5,-74,5,,1.4,4.014084507042253,6.411932191600021
J0001+1914,2358+189,+19:14:33.8017136,00:01:08.62156616,19.242722698222224,0.2859231923333333,12.0,2.6e-06,4.72e-05,1.0833333333333333e-08,1.3111111111111112e-08,1.6628738662418433e-08,-0.0314,0.0472,1.0,2015.0,106.862,-42.054,NED (fiducial),3.1,,3.1,,,20.5,R,AQ,"ICRF J000108.6+191433 S/X; CGRaBS J0001+1914
",J0001+1914,"2,5,8",44,4,,1.6,0.0,4.0
J0001+2113,2358+209,+21:13:36.2750500,00:01:32.37050700,21.22674306944444,0.3848771124999999,23.0,2.8e-05,0.0006,1.1666666666666665e-07,1.6666666666666665e-07,1.990091608797943e-07,-0.425,0.6327,39.0,2015.0,107.656,-40.16,NED (fiducial),1.106,,0.439,,0.439,18.6,R,AQ,"NVSS J000132+211336
",J0001+2113,"5,8",-43,4,,2.8,4.014084507042253,5.666822251463041
J0001+2358,2358+236,+23:58:10.7102900,00:01:14.86452500,23.96964174722222,0.3119355208333333,15.0,5.267e-05,0.00125,2.194583333333333e-07,3.472222222222223e-07,4.009694844248079e-07,0.073,1.2517,39.0,2015.0,108.444,-37.486,NED (fiducial),,a,,,,19.2,G,G ,"87GB 235840.4+234113
",J0001+2358,"5,8",34,4,,2.3,21.285211267605632,21.65779810383793
