Index,objid,ra,dec,deVAB_u,deVAB_g,deVAB_r,deVAB_i,deVAB_z,Column1,deVPhi_u,deVPhi_g,deVPhi_r,deVPhi_i,deVPhi_z,specobjid,class,redshift,expAB_g,expAB_i,expAB_r,expAB_u,expAB_z,expPhi_g,expPhi_i,expPhi_r,expPhi_u,expPhi_z,deVABErr_g,deVABErr_i,deVABErr_r,deVABErr_u,deVABErr_z,expABErr_g,expABErr_i,expABErr_r,expABErr_u,expABErr_z,deVMag_i,deVMag_r,deVMag_u,deVMag_z,expMag_i,expMag_r,expMag_u,expMag_z,modelMag_i,modelMag_r,modelMag_u,modelMag_z,type_i,type_r,type_u,type_z,deVMag_g,expMag_g,modelMag_g,type_g,deV_prob_u,model_u,modelAB_u,modelABErr_u,modelPhi_u,deV_prob_g,model_g,modelAB_g,modelABErr_g,modelPhi_g,deV_prob_r,model_r,modelAB_r,modelABErr_r,modelPhi_r,deV_prob_i,model_i,modelAB_i,modelABErr_i,modelPhi_i,deV_prob_z,model_z,modelAB_z,modelABErr_z,modelPhi_z,modelPhiErr,sys_err_u,tot_err_u,sys_err_g,tot_err_g,sys_err_r,tot_err_r,sys_err_i,tot_err_i,sys_err_z,tot_err_z,probpsf_r,devrad_r
1,1237678598090522739,0.112583069491734,3.12097634092061,0.08992004,0.8999152,0.7922454,0.7425438,0.2811609,0.7922454,52.61621,43.29816,43.26786,118.1514,110.7514,4837039265136531456,QSO,2.351937,0.7447771,0.8485184,0.8468542,0.362946,0.1998781,43.3062,118.0362,43.27696,52.56165,73.59002,8.980477,7.452012,0.5100277,13.73162,43.59222,8.327545,19.97345,0.3766733,42.15652,41.92119,18.75452,18.72612,19.31028,18.58276,18.75467,18.72548,19.31039,18.56948,18.74632,18.72612,19.31161,18.57383,6,6,6,6,18.79703,18.79694,18.79309,6,0.9172932330806782,exp,0.362946,42.15652,52.56165000000328,0.9771573604060548,exp,0.7447771,8.327545,43.30619999999908,inf,deV,0.7922454,0.5100277,43.26785999999993,1.0182926829270065,deV,0.7425438,7.452012,-61.84859999999753,0.4871220604706126,exp,0.1998781,41.92119,73.59002000000328,15.0,8.120243845381111,17.05691531632991,17.477288522250237,23.03162204643824,9.163339536989298,17.57745122223786,32.501720206031536,35.796114542658934,32.139663335086794,35.46770304506231,1.0,0.037890255
6,1237652943175483415,0.386798787710518,14.9355675434309,0.3499942,0.7059919,0.9201673,0.9997594,0.9816924,0.9201673,142.7623,97.02961,135.2406,133.2353,62.57676,845634155810154496,QSO,0.3987845,0.7354004,0.9998131,0.9807879,0.1259897,0.9896741,97.30721,132.8643,133.4672,142.6314,129.2611,0.1255216,0.1370773,0.09610508,35.30285,0.2815525,0.1346753,0.09576084,0.1051002,26.56161,0.3716682,18.67562,19.01455,19.23093,18.15276,18.82102,19.1054,19.23102,18.23683,18.75316,19.01452,19.14305,18.13702,3,3,6,3,19.12758,19.13726,19.06373,6,1.0010241238051905,deV,0.3499942,35.30285,-37.23769999999786,1.1516053249804734,deV,0.7059919,0.1255216,-82.97039000000223,3029.333333447968,deV,0.9201673,0.09610508,-44.75940000000264,0.8751612071188716,exp,0.9998131,0.09576084,-47.135699999998906,6.341168996187759,deV,0.9816924,0.2815525,62.57676000000356,15.0,3.859967799199109,15.48868462494004,17.00747647823282,22.677174783416973,9.972963796637451,18.01277343689864,11.957594463885505,19.18291076356102,32.139663335086794,35.46770304506231,0.0,0.25022894
8,1237680296744452206,0.38487055357848,21.2267247440786,0.2967814,0.595282,0.9764233,0.9998173,0.5681115,0.9764233,165.3078,11.45005,132.4231,77.19742,16.41685,8551262135992473600,QSO,0.4389864,0.6137747,0.9988456,0.9996617,0.4235334,0.5852904,10.568,77.41887,131.8179,164.4727,19.22229,0.1459543,0.1664786,0.1140116,0.7783332,0.3850746,0.1288895,0.153675,0.1311893,0.4736533,0.3803093,18.58126,18.77844,19.37056,18.45486,18.62432,18.8301,19.37312,18.48603,18.56414,18.77844,19.31194,18.43502,3,3,6,3,19.11351,19.11969,19.06015,6,1.043671102012947,deV,0.2967814,0.7783332,-14.692199999997683,1.115817091454213,deV,0.595282,0.1459543,11.450049999999464,inf,deV,0.9764233,0.1140116,-47.57690000000002,3.515186915887585,deV,0.9998173,0.1664786,77.19741999999678,2.571068548387187,deV,0.5681115,0.3850746,16.416850000001432,15.0,0.0,15.0,0.964727477849492,15.03099128821908,9.972963796637451,18.01277343689864,32.021930169464866,35.36105218708974,0.0,15.0,0.0,0.24232444
13,1237663783660617862,0.296647878961748,-0.336553272633665,0.9993103,0.4592629,0.9997163,0.7601044,0.6498796,0.9997163,70.80223,48.03191,137.4817,104.9297,74.45105,4746855671789803520,QSO,0.5178216,0.586282,0.8378512,0.7403821,0.9997788,0.6633385,48.09027,104.7874,104.8066,71.01979,74.44492,0.1474685,0.1356926,0.6445834,1.742643,0.5521589,0.1525365,0.1108399,0.0001627602,0.3506085,0.4916122,18.3305,18.59603,19.35266,18.2536,18.33532,18.59179,19.3526,18.25731,18.34653,18.59179,19.35336,18.25487,6,6,6,6,18.72445,18.7258,18.73253,6,1.0857142857163158,deV,0.9993103,1.742643,70.80223000000115,0.8329207920793701,exp,0.586282,0.1525365,48.0902700000006,0.0,exp,0.7403821,0.0001627602,-75.19339999999647,0.6993137866501237,exp,0.8378512,0.1108399,-75.21259999999893,1.921259842517174,deV,0.6498796,0.5521589,74.4510500000033,15.0,20.80543285307353,25.64889931758771,17.477288522250237,23.03162204643824,24.75401770556946,28.94410808036148,32.501720206031536,35.796114542658934,32.139663335086794,35.46770304506231,1.0,0.01659095
19,1237663234988442007,0.705243111223922,30.5448967985512,0.349747,0.3529025,0.9999182,0.8270741,0.2999928,0.9999182,151.4764,144.8645,185.4417,183.8391,152.377,8032367682790905856,QSO,2.392626,0.4797846,0.7717577,0.9998964,0.3502704,0.3436563,145.2405,183.8365,185.6197,151.485,152.3577,0.1332363,9.225115,0.1225601,29.37531,28.19706,0.161892,12.14002,0.1353351,30.40473,52.14951,18.51359,18.61946,19.50296,18.23784,18.51365,18.62112,19.50284,18.23772,18.50384,18.62112,19.50229,18.23139,6,6,6,6,18.76049,18.76161,18.76904,6,0.8208955223850523,exp,0.3502704,30.40473,-28.51499999999941,0.8690058479531834,exp,0.4797846,0.161892,-34.75950000000012,0.0,exp,0.9998964,0.1353351,5.619700000002922,1.006153846153613,deV,0.8270741,9.225115,3.839099999997416,0.9813953488373554,exp,0.3436563,52.14951,-27.642299999999523,15.0,3.859967799199109,15.48868462494004,0.0,15.0,0.0,15.0,0.0,15.0,9.841311590391022,17.94021777513207,1.0,0.03820905
22,1237663783660814630,0.738243207140158,-0.413114997737854,0.3385122,0.9998959,0.8877224,0.8389853,0.9514369,0.8877224,74.23498,44.5684,137.8408,169.4493,44.56499,4746825984975853568,GALAXY,0.5220099,0.9998636,0.9043037,0.9951243,0.4495632,0.9734671,44.98554,165.3608,135.536,74.74785,43.76312,0.1184292,0.0793403,0.1410984,32.98193,0.2563672,0.1343581,0.07599968,0.001515876,105.6517,0.1978544,18.89861,19.73431,21.46497,18.48871,19.13711,19.87778,21.46504,18.69153,19.03291,19.73431,21.24775,18.65351,3,3,6,3,20.70765,20.72908,20.53339,6,1.0003222539360894,deV,0.3385122,32.98193,74.23498000000109,1.122977160564666,deV,0.9998959,0.1184292,44.56839999999647,inf,deV,0.8877224,0.1410984,-42.159200000001874,0.7758749069247879,exp,0.9043037,0.07599968,-14.6391999999978,0.2307038834951431,exp,0.9734671,0.1978544,43.763120000003255,15.0,20.80543285307353,25.64889931758771,17.477288522250237,23.03162204643824,9.972963796637451,18.01277343689864,0.0,15.0,11.570080074814424,18.943778739671178,0.0,0.339975
27,1237669682262048917,0.996794717913929,8.69394137334678,0.1020359,0.9476961,0.2155424,0.5095626,0.4685209,0.2155424,43.6268,44.42867,103.9333,137.5635,105.7744,5104927033013852160,QSO,2.177924,0.9371263,0.4941802,0.1921133,0.258367,0.7783145,44.67854,137.5444,104.1604,43.59369,105.9151,0.8670927,3.706172,26.58242,52.38329,32.13649,0.7735295,4.95613,20.50516,78.78914,12.64424,19.45592,19.74004,20.61323,19.27287,19.45617,19.74029,20.61308,19.27086,19.45376,19.74005,20.61208,19.26979,6,6,6,6,20.11091,20.11415,20.14694,6,0.8695652173903641,exp,0.258367,78.78914,43.59369000000152,0.9100749375520923,exp,0.9371263,0.7735295,44.6785400000008,24.00000000106581,deV,0.2155424,26.58242,-76.06670000000304,1.1157407407412967,deV,0.5095626,3.706172,-42.43650000000344,0.3474025974020618,exp,0.7783145,12.64424,-74.08490000000165,15.0,8.120243845381111,17.05691531632991,17.477288522250237,23.03162204643824,24.75401770556946,28.94410808036148,11.957594463885505,19.18291076356102,30.75705768893565,34.21982755188161,1.0,0.0487304
28,1237652944786358453,0.942071789895806,16.0966436406253,0.9830066,0.535623,0.950029,0.05136938,0.4133021,0.950029,63.4416,104.4727,135.7928,105.0659,134.6539,6949279180338255872,QSO,2.307347,0.6409287,0.3000699,0.8131642,0.9859681,0.1115661,104.4891,105.0483,135.7717,62.63103,134.6906,0.4734654,7.954637,22.39058,0.7183104,31.10742,0.4323899,38.11727,17.96512,0.6610858,2.608868,19.43537,19.50948,20.01562,19.30475,19.43745,19.50941,20.02706,19.30487,19.45293,19.50948,20.08882,19.31021,6,6,6,6,19.56983,19.57031,19.58049,6,0.8437158469945307,exp,0.9859681,0.6610858,62.63102999999683,0.9549718574109262,exp,0.6409287,0.4323899,-75.51090000000113,inf,deV,0.950029,22.39058,-44.2071999999971,0.8815489749430828,exp,0.3000699,38.11727,-74.9516999999978,0.9780219780215204,exp,0.1115661,2.608868,-45.30939999999828,15.0,20.80543285307353,25.64889931758771,17.00747647823282,22.677174783416973,9.972963796637451,18.01277343689864,32.501720206031536,35.796114542658934,9.841311590391022,17.94021777513207,1.0,0.0
31,1237666245230395747,0.81796836679672,24.9939751335794,0.05,0.3506907,0.4357265,0.7761549,0.06698127,0.4357265,66.59705,66.26356,74.96263,72.74867,56.13651,8631164751903479808,QSO,0.6726516,0.2692491,0.8513755,0.5503394,0.05,0.06991084,100.0455,71.83304,77.15514,66.65961,48.71609,52.66379,0.6928574,0.514028,0.0,13.21004,77.86799,0.6515386,0.5118447,0.0,33.16367,20.20523,20.719,21.92192,19.45891,20.21469,20.75589,21.92188,19.46986,20.12337,20.71913,21.83921,19.39874,6,6,6,6,21.38224,21.38026,21.27875,6,0.999516382541428,exp,0.05,0.0,66.65961000000243,0.9808677166876062,exp,0.2692491,77.86799,-79.95449999999983,282.7692307722159,deV,0.4357265,0.514028,74.96263000000181,1.1155631566088544,deV,0.7761549,0.6928574,72.74867000000086,1.1819843775968295,deV,0.06698127,13.21004,56.13650999999663,15.0,20.80543285307353,25.64889931758771,17.00747647823282,22.677174783416973,23.40214466255046,27.79676914331841,32.021930169464866,35.36105218708974,32.139663335086794,35.46770304506231,1.0,0.30845293
32,1237680478730454056,0.984754702502585,32.6993284839153,0.05,0.1533609,0.7974899,0.7515709,0.5153296,0.7974899,69.20998,51.64953,111.0003,129.2502,52.59283,8024452298582546432,GALAXY,0.5333356,0.1519298,0.7716648,0.6719992,0.05384377,0.6275684,56.91604,120.7764,128.4783,63.29751,69.49145,0.8246552,0.2701593,0.5139699,0.0,0.5284367,0.8267776,0.2128213,0.42535,0.5209052,0.641628,19.66037,20.61632,22.06803,19.33514,19.9028,20.922,22.19226,19.42015,19.78655,20.61642,22.48085,19.12594,3,3,3,3,22.13099,22.1556,21.832,3,0.6990698125090821,exp,0.05384377,0.5209052,63.29750999999669,1.082310445165387,deV,0.1533609,0.8246552,51.649530000002414,3055.8000000071124,deV,0.7974899,0.5139699,-68.9997000000003,0.9213029006181862,exp,0.7716648,0.2128213,-59.22359999999753,1.406357552581266,deV,0.5153296,0.5284367,52.59283000000141,15.0,20.80543285307353,25.64889931758771,17.477288522250237,23.03162204643824,24.75401770556946,28.94410808036148,32.501720206031536,35.796114542658934,11.570080074814424,18.943778739671178,0.0,0.82267714
